$t_I$,$t_N$,$t_{I_1I_2}$,$t_{I_1N}$,$t_{I_2N}$,$k_{I_2}$,$k_{I_1}$,$k_N$,$k_P$,$h_{I_1}$,$h_{I_2}$
0,0,1,0.389141659,1,35.52585741,337.4287647,999.9999992,28.58897675,1,3
0,0.000000222,0.999999928,0.389834997,1,35.48907211,336.5626372,476.735483,28.47950378,1,3
0.0000135,0,1,0.394597876,0.999992794,35.33413362,331.6073551,95.48672892,27.75936182,1,3
0.0000336,0.0000143,1,0.390890316,0.99998674,35.32828083,328.9166625,999.8573448,27.94612733,1,3
0.0000272,0,1,0.396720795,0.999988327,35.21451472,330.7986478,75.90633746,27.72374615,1,3
0.0000021,0,0.999988443,0.394510079,0.9997208,35.25178187,327.4863981,135.9691506,27.56103332,1,3
0.00000699,0.0000713,0.999986677,0.406782209,0.99960344,34.89361603,325.4001147,34.51655722,26.7331389,1,3
0.0000158,0.0000226,0.999925613,0.406673196,0.999880051,34.79932753,321.1544905,34.50693669,26.58208975,1,3
0.000536398,0,1,0.403824428,0.999915899,34.89281929,324.0715218,41.58594769,26.68145272,1,3
0.000175047,0.000168624,1,0.402054963,1,34.96084714,324.0830198,49.28560172,26.77084916,1,3
0,0.0000378,1,0.418533268,0.999962316,33.93339606,305.2471799,21.88824323,23.92641393,1,3
0.00007,0.0000553,1,0.416423638,0.998582395,34.48286412,318.9665105,21.74597387,25.55805895,1,3
0.001500642,0,0.999980745,0.401975975,0.998817052,34.74016537,288.622201,57.46565098,24.44944941,1,3
0.00018575,0,0.999821311,0.455898053,0.99404675,33.34556771,296.8936188,8.662820856,22.26074935,1,3
0.000998576,0.001882065,1,0.378544849,1,37.44426798,366.8552745,999.4595595,32.04415087,1,3
0.00000638,0.001982036,1,0.451076266,0.999968068,33.65567967,298.2686865,9.626257152,22.89416344,1,3
0.0000108,0.00000935,0.999079802,0.488042355,0.99969173,32.67367921,297.9676226,5.791666253,21.31537248,1,3
0.004309109,0.00005,0.999950273,0.472225204,0.99854869,32.49287609,249.2073452,7.891345889,18.0180819,1,3
0.001948881,0.00014934,0.999981051,0.48842625,0.999662467,32.92783389,289.395485,5.50604578,21.10093241,1,3
0.000895465,0.000108762,0.999260916,0.491987767,0.976720116,32.94862849,303.5499885,5.254148212,21.222322,1,3
